,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS_1,Unnamed: 7,Attendee,Notes,Season,Date_New
0,8:00p,Orlando Magic,84,New Orleans Pelicans,101,,17097,,2015,2014-10-28
1,8:00p,Dallas Mavericks,100,San Antonio Spurs,101,,19615,,2015,2014-10-28
2,10:30p,Houston Rockets,108,Los Angeles Lakers,90,,18997,,2015,2014-10-28
3,7:00p,Milwaukee Bucks,106,Charlotte Hornets,108,OT,19439,,2015,2014-10-29
4,7:00p,Philadelphia 76ers,91,Indiana Pacers,103,,18165,,2015,2014-10-29
5,7:30p,Atlanta Hawks,102,Toronto Raptors,109,,19800,,2015,2014-10-29
6,7:30p,Washington Wizards,95,Miami Heat,107,,19744,,2015,2014-10-29
7,7:30p,Brooklyn Nets,105,Boston Celtics,121,,18624,,2015,2014-10-29
8,8:00p,Chicago Bulls,104,New York Knicks,80,,19812,,2015,2014-10-29
9,8:00p,Minnesota Timberwolves,101,Memphis Grizzlies,105,,17731,,2015,2014-10-29
10,9:00p,Detroit Pistons,79,Denver Nuggets,89,,17136,,2015,2014-10-29
11,9:00p,Houston Rockets,104,Utah Jazz,93,,19911,,2015,2014-10-29
12,10:00p,Los Angeles Lakers,99,Phoenix Suns,119,,17523,,2015,2014-10-29
13,10:00p,Golden State Warriors,95,Sacramento Kings,77,,17317,,2015,2014-10-29
14,10:30p,Oklahoma City Thunder,89,Portland Trail Blazers,106,,19441,,2015,2014-10-29
15,7:00p,Washington Wizards,105,Orlando Magic,98,,18846,,2015,2014-10-30
16,8:00p,New York Knicks,95,Cleveland Cavaliers,90,,20562,,2015,2014-10-30
17,8:00p,Detroit Pistons,91,Minnesota Timberwolves,97,,18296,,2015,2014-10-30
18,8:30p,Utah Jazz,102,Dallas Mavericks,120,,19697,,2015,2014-10-30
19,10:30p,Oklahoma City Thunder,90,Los Angeles Clippers,93,,19060,,2015,2014-10-30
20,7:00p,Memphis Grizzlies,97,Indiana Pacers,89,,14441,,2015,2014-10-31
21,8:00p,Cleveland Cavaliers,114,Chicago Bulls,108,OT,22879,,2015,2014-10-31
22,8:30p,Philadelphia 76ers,81,Milwaukee Bucks,93,,18717,,2015,2014-10-31
23,10:00p,San Antonio Spurs,89,Phoenix Suns,94,,15050,,2015,2014-10-31
24,10:00p,Portland Trail Blazers,94,Sacramento Kings,103,,14648,,2015,2014-10-31
25,10:30p,Los Angeles Clippers,118,Los Angeles Lakers,111,,18997,,2015,2014-10-31
26,7:00p,Memphis Grizzlies,71,Charlotte Hornets,69,,18133,,2015,2014-11-01
27,7:00p,Dallas Mavericks,109,New Orleans Pelicans,104,,14547,,2015,2014-11-01
28,7:00p,Toronto Raptors,108,Orlando Magic,95,,16141,,2015,2014-11-01
29,7:00p,Miami Heat,114,Philadelphia 76ers,96,,19753,,2015,2014-11-01
30,7:00p,Milwaukee Bucks,97,Washington Wizards,108,,17992,,2015,2014-11-01
31,7:30p,Indiana Pacers,92,Atlanta Hawks,102,,19118,,2015,2014-11-01
32,7:30p,Brooklyn Nets,102,Detroit Pistons,90,,19904,,2015,2014-11-01
33,8:00p,Boston Celtics,90,Houston Rockets,104,,18309,,2015,2014-11-01
34,8:00p,Chicago Bulls,106,Minnesota Timberwolves,105,,19356,,2015,2014-11-01
35,8:00p,Denver Nuggets,91,Oklahoma City Thunder,102,,18203,,2015,2014-11-01
36,9:00p,Phoenix Suns,91,Utah Jazz,118,,17721,,2015,2014-11-01
37,10:30p,Los Angeles Lakers,104,Golden State Warriors,127,,19596,,2015,2014-11-01
38,3:30p,Sacramento Kings,98,Los Angeles Clippers,92,,19060,,2015,2014-11-02
39,6:00p,Toronto Raptors,102,Miami Heat,107,,19666,,2015,2014-11-02
40,7:30p,Charlotte Hornets,93,New York Knicks,96,,19812,,2015,2014-11-02
41,9:00p,Golden State Warriors,95,Portland Trail Blazers,90,,19441,,2015,2014-11-02
42,7:00p,Houston Rockets,104,Philadelphia 76ers,93,,12896,,2015,2014-11-03
43,7:30p,Oklahoma City Thunder,85,Brooklyn Nets,116,,17732,,2015,2014-11-03
44,8:00p,New Orleans Pelicans,81,Memphis Grizzlies,93,,15302,,2015,2014-11-03
45,8:30p,Boston Celtics,113,Dallas Mavericks,118,,19948,,2015,2014-11-03
46,9:00p,Sacramento Kings,110,Denver Nuggets,105,,12516,,2015,2014-11-03
47,10:30p,Utah Jazz,101,Los Angeles Clippers,107,,19060,,2015,2014-11-03
48,7:00p,Milwaukee Bucks,87,Indiana Pacers,81,,15012,,2015,2014-11-04
49,7:30p,Houston Rockets,108,Miami Heat,91,,19666,,2015,2014-11-04
50,7:30p,Washington Wizards,98,New York Knicks,83,,19812,,2015,2014-11-04
51,7:30p,Oklahoma City Thunder,88,Toronto Raptors,100,,18877,,2015,2014-11-04
52,8:00p,Orlando Magic,90,Chicago Bulls,98,,21809,,2015,2014-11-04
53,8:00p,Charlotte Hornets,91,New Orleans Pelicans,100,,14840,,2015,2014-11-04
54,10:00p,Cleveland Cavaliers,82,Portland Trail Blazers,101,,19441,,2015,2014-11-04
55,10:30p,Phoenix Suns,112,Los Angeles Lakers,106,,18997,,2015,2014-11-04
56,7:00p,Miami Heat,89,Charlotte Hornets,96,,15874,,2015,2014-11-05
57,7:00p,Orlando Magic,91,Philadelphia 76ers,89,,12111,,2015,2014-11-05
58,7:30p,Toronto Raptors,110,Boston Celtics,107,,16249,,2015,2014-11-05
59,7:30p,Minnesota Timberwolves,98,Brooklyn Nets,91,,16302,,2015,2014-11-05
60,7:30p,New York Knicks,95,Detroit Pistons,98,,11915,,2015,2014-11-05
61,8:00p,Chicago Bulls,95,Milwaukee Bucks,86,,13098,,2015,2014-11-05
62,8:00p,Indiana Pacers,94,Washington Wizards,96,OT,15268,,2015,2014-11-05
63,8:30p,Atlanta Hawks,92,San Antonio Spurs,94,,18581,,2015,2014-11-05
64,9:00p,Memphis Grizzlies,102,Phoenix Suns,91,,15377,,2015,2014-11-05
65,9:00p,Cleveland Cavaliers,100,Utah Jazz,102,,19911,,2015,2014-11-05
66,10:00p,Denver Nuggets,109,Sacramento Kings,131,,14539,,2015,2014-11-05
67,10:30p,Los Angeles Clippers,104,Golden State Warriors,121,,19596,,2015,2014-11-05
68,8:00p,San Antonio Spurs,81,Houston Rockets,98,,18311,,2015,2014-11-06
69,10:30p,Dallas Mavericks,87,Portland Trail Blazers,108,,19441,,2015,2014-11-06
70,7:00p,Atlanta Hawks,119,Charlotte Hornets,122,2OT,15891,,2015,2014-11-07
71,7:00p,Minnesota Timberwolves,103,Orlando Magic,112,OT,16379,,2015,2014-11-07
72,7:00p,Chicago Bulls,118,Philadelphia 76ers,115,,16820,,2015,2014-11-07
73,7:30p,Indiana Pacers,98,Boston Celtics,101,,17122,,2015,2014-11-07
74,7:30p,New York Knicks,99,Brooklyn Nets,110,,17732,,2015,2014-11-07
75,7:30p,Milwaukee Bucks,95,Detroit Pistons,98,,16102,,2015,2014-11-07
76,7:30p,Washington Wizards,84,Toronto Raptors,103,,19800,,2015,2014-11-07
77,8:00p,Memphis Grizzlies,91,Oklahoma City Thunder,89,,18203,,2015,2014-11-07
78,9:00p,Sacramento Kings,114,Phoenix Suns,112,2OT,15476,,2015,2014-11-07
79,9:00p,Dallas Mavericks,105,Utah Jazz,82,,18419,,2015,2014-11-07
80,10:30p,Cleveland Cavaliers,110,Denver Nuggets,101,,19623,,2015,2014-11-07
81,3:30p,Portland Trail Blazers,102,Los Angeles Clippers,106,,19060,,2015,2014-11-08
82,7:00p,Washington Wizards,97,Indiana Pacers,90,,17302,,2015,2014-11-08
83,7:30p,New York Knicks,96,Atlanta Hawks,103,,17521,,2015,2014-11-08
84,7:30p,Minnesota Timberwolves,92,Miami Heat,102,,19735,,2015,2014-11-08
85,8:00p,Boston Celtics,106,Chicago Bulls,101,,22104,,2015,2014-11-08
86,8:00p,Golden State Warriors,98,Houston Rockets,87,,18312,,2015,2014-11-08
87,8:30p,Memphis Grizzlies,92,Milwaukee Bucks,93,,13841,,2015,2014-11-08
88,8:30p,New Orleans Pelicans,100,San Antonio Spurs,99,,18581,,2015,2014-11-08
89,3:30p,Orlando Magic,96,Brooklyn Nets,104,,16127,,2015,2014-11-09
90,6:00p,Utah Jazz,97,Detroit Pistons,96,,12888,,2015,2014-11-09
91,7:00p,Sacramento Kings,93,Oklahoma City Thunder,101,,18203,,2015,2014-11-09
92,7:00p,Philadelphia 76ers,88,Toronto Raptors,120,,18470,,2015,2014-11-09
93,7:30p,Miami Heat,105,Dallas Mavericks,96,,20195,,2015,2014-11-09
94,8:00p,Golden State Warriors,95,Phoenix Suns,107,,16046,,2015,2014-11-09
95,9:00p,Denver Nuggets,100,Portland Trail Blazers,116,,16046,,2015,2014-11-09
96,9:30p,Charlotte Hornets,92,Los Angeles Lakers,107,,18997,,2015,2014-11-09
97,7:00p,New Orleans Pelicans,111,Cleveland Cavaliers,118,,20562,,2015,2014-11-10
98,7:00p,Utah Jazz,86,Indiana Pacers,97,,12513,,2015,2014-11-10
99,7:30p,Atlanta Hawks,91,New York Knicks,85,,19812,,2015,2014-11-10
100,8:00p,Detroit Pistons,91,Chicago Bulls,102,,21431,,2015,2014-11-10
101,10:30p,San Antonio Spurs,89,Los Angeles Clippers,85,,19313,,2015,2014-11-10
102,7:30p,Orlando Magic,100,Toronto Raptors,104,,19800,,2015,2014-11-11
103,8:00p,Los Angeles Lakers,102,Memphis Grizzlies,107,,17618,,2015,2014-11-11
104,8:00p,Oklahoma City Thunder,78,Milwaukee Bucks,85,,12390,,2015,2014-11-11
105,8:30p,Sacramento Kings,98,Dallas Mavericks,106,,19663,,2015,2014-11-11
